,best,best-CR,best-CR-occl,best-CR-occl-cumul,best-CR-occl-cumul-flex
Pr_training,5794.991800986587,5903.767021909391,6041.205538285999,5985.832904884858,6685.362121972959
Pl_training,1441.8903502954518,1451.967002796887,1451.3388891613322,1458.1123623459016,1636.568884493929
36N_training,16165.14013342564,16138.656990860394,16138.405462907947,16147.378920702737,19768.045809108182
Pr.Pl_training,7180.1343711950285,7294.405609730567,7396.719054546755,7384.1813283162055,8273.000921307921
Pr_validation,1947.481548627296,1984.8199204966666,2030.8179680012736,2016.7777107759034,2275.896337915437
Pl_validation,449.8193852344222,453.30658731390497,453.5778376422602,454.16528480285945,523.9866533604077
36N_validation,5388.439090976465,5382.588275540431,5381.277300917838,5406.58836531863,6358.072462413214
Pr.Pl_validation,2384.9654742788807,2424.153463048446,2460.1903530473446,2457.2674116584776,2791.0028228409287
Pr_evaluation,1921.3338492531057,1949.9156621421637,1965.4517655527256,1945.392728727682,2168.0636193785767
Pl_evaluation,454.8126303088285,458.28429680708444,458.32121424823015,459.1004831854534,532.8627173410904
36N_evaluation,5199.120796475982,5189.01703019464,5187.060748253671,5151.3175079900975,5859.216284686079
Pr.Pl_evaluation,2366.547493818497,2398.326254821567,2409.2274147045628,2400.3732772233197,2697.695221831024
Pr_all,9663.548461321703,9838.309999693358,10037.738229100662,9948.597248590686,11128.604672451333
Pl_all,2344.7741998064903,2361.4770240015623,2361.1645512618925,2369.349290899687,2691.6326530596125
36N_all,26662.96122137291,26619.954629452455,26616.176918262885,26593.304223546555,31909.607981097935
Pr.Pl_all,11931.999342725769,12117.511407040169,12267.438400756386,12243.060148330555,13762.513252064895
